caption,label
"Bún thịt nướng là một món ăn món ăn có nguồn gốc ở miền Nam Việt Nam, về sau đã phổ biến lan rộng tại nhiều nơi trên cả nước. Mỗi nơi đều có thể có cho mình một hương vị đặc trưng riêng tùy theo khẩu vị từng nơi. Món bún này có thể dùng làm điểm tâm, bữa chính hay bữa phụ đều phù hợp. Yêu cầu của món Bún thịt nướng là thịt được nướng vàng đều, có vị đậm đà cùng hương thơm của sả và vừng; nước mắm chua ngọt vừa ăn; và các loại rau dùng kèm đa dạng.",13
"Nguyễn Trường Tộ (chữ Hán: 阮長祚, 1830? – 1871), còn được gọi là Thầy Lân, là một danh sĩ, kiến trúc sư, và là nhà cải cách xã hội Việt Nam ở thế kỷ 19.",14
"Cơm tấm hay cơm sườn là một món cơm có xuất xứ từ Việt Nam, với thành phần chủ đạo gồm gạo tấm, thịt lợn nướng, trứng ốp la, nước mắm cùng nhiều nguyên liệu khác. Dù có nhiều tên gọi ở các vùng miền khác nhau, tuy nhiên nguyên liệu và cách thức chế biến của món ăn này lại gần như tương tự. Trong số đó, Sài Gòn được biết đến như một trong những địa danh nổi tiếng nhất gắn liền với món cơm tấm. Cơm tấm trước đây chủ yếu chỉ dùng cho bữa sáng, nhưng sau này người ta còn dùng trong cả bữa trưa lẫn bữa tối. Không chỉ phổ biến ở các hàng quán lề đường, ngày nay món ăn còn xuất hiện trong các nhà hàng, quán ăn sang trọng và trải dài rộng khắp trên lãnh thổ Việt Nam .",15
"Gỏi cuốn hay còn được gọi là Nem cuốn (Phương ngữ miền Bắc), là một món ăn khá phổ biến ở Việt Nam. Gỏi cuốn có xuất xứ từ Miền nam Việt Nam với tên gọi là gỏi cuốn - bằng các nguyên liệu gồm rau xà lách, húng quế, tía tô, tôm khô, rau thơm, thịt luộc, tôm tươi.. tất cả được cuộn trong vỏ bánh tráng. Gia vị dùng kèm là tương hột trộn với lạc rang giã nhỏ phi bằng dầu ăn với hành khô.... tất cả thái nhỏ và cuộn trong vỏ làm từ bột mì hoặc là tương ớt trộn với lạc rang giã nhỏ phi bằng dầu ăn với hành khô. Món ăn này phổ biển ở Việt Nam chủ yếu dùng bánh tráng được cuốn với nhiều thành phần khác nhau tùy từng vùng miền, thường dùng để khai vị hay ăn kèm cùng đồ uống như một món nhậu, được làm từ bánh tráng cuộn với các loại rau thơm, bún, và một số loại thịt như thịt bò, heo, vịt, tôm, cá, cua v.v. Các món ăn lấy bánh tráng để cuốn nhìn chung là một dạng chế biến món ăn thịnh hành khắp ba miền Bắc, Trung, Nam Việt Nam. Hầu như không có một công thức cố định cho các món dùng bánh tráng cuốn, bởi tùy địa phương, vùng miền, nguyên liệu dùng để cuốn có nhiều khác biệt.  ",16
"Hủ tiếu (bắt nguồn từ tiếng Triều Châu “粿條” guê2diou5, âm Hán Việt: quả điều), còn được viết là hủ tíu (trong phương ngữ tiếng Việt miền Nam tiếu đồng âm với tíu), là món ăn dùng chế phẩm gạo dạng sợi của người Triều Châu và người Mân Nam, có nhiều điểm tương tự như sa hà phấn của người Quảng Đông và bản điều của người Khách Gia, được truyền nhập tới nhiều vùng ở trong và ngoài nước Trung Quốc, trở thành món ăn thường gặp ở vùng Hoa Nam Trung Quốc và khu vực Đông Nam Á như ở miền Nam Việt Nam, Campuchia, Lào, Thái Lan, Singapore, v.v. Hủ tiếu phát triển rất mạnh ở miền Nam Việt Nam từ những năm 50, đặc biệt là tại Sài Gòn, rất dễ tìm thấy quán hủ tiếu trên đường phố hoặc xe hủ tiếu đẩy ở đầu hẻm. Có thể nói Hủ tiếu là món ăn đặc trưng tại đây, tương tự như phở ở Hà Nội hay bún bò tại Huế. Hủ tiếu thường là món ăn sáng hoặc ăn tối, người miền Nam ít ăn trưa với hủ tiếu. Nguyên liệu chính của món hủ tiếu là bánh hủ tiếu, nước dùng chính là với thịt bằm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các nguyên liệu phụ vào như giá đỗ, hẹ, thịt bằm vào. Có thể ăn với thịt bò viên và tương ớt, tương đen.",17
"Phở (chữ Nôm: 𬖾) là một món ăn truyền thống của Việt Nam, được xem là một trong những món ăn tiêu biểu cho nền ẩm thực Việt Nam. Thành phần chính của phở là bánh phở và nước dùng cùng với thịt bò hoặc thịt gà cắt lát mỏng, hành. Thịt bò thích hợp nhất để nấu phở là thịt, xương từ các giống bò ta (bò nội, bò vàng). Ngoài ra còn kèm theo các gia vị như: tương, tiêu, chanh, nước mắm, ớt, ... Những gia vị này được thêm vào tùy theo khẩu vị của người dùng. Phở thông thường được dùng để làm món điểm tâm buổi sáng hoặc lót dạ buổi đêm; nhưng ở các thành phố lớn, món ăn này có thể được thưởng thức cả ngày. Tại các tỉnh phía Nam Việt Nam và một số vùng miền khác, phở được bày kèm với đĩa rau thơm như hành, giá và những lá cây rau mùi, rau húng, trong đó ngò gai là loại lá đặc trưng của phở; tuy nhiên tại Hà Nội thông thường sẽ không có đĩa rau sống này. Phở thường là phở bò hay phở gà, nhưng đôi khi cũng có những biến thể khác, đặc biệt là phở sốt vang, phở khô, phở xào, phở chua, phở vịt ở Cao Bằng, và phở thịt quay ở các tỉnh miền núi phía Bắc. Nước dùng cho nồi phở thường là nước dùng trong được ninh từ xương bò (hoặc xương lợn), kèm theo nhiều loại gia vị bao gồm quế, hồi, gừng nướng, thảo quả, sá sùng, đinh hương, hạt mùi, hành khô nướng. Thịt dùng cho món phở là thịt bò (với đủ loại thịt bắp, nạm, gầu được làm tái, hay chín hẳn) hoặc thịt gà (gà ta già luộc, xé thịt cho thịt ngọt đậm đà). ""Bánh phở"" theo truyền thống là một loại mì gạo làm từ bột gạo, tráng thành tấm mỏng rồi cắt thành sợi. Phở luôn được thưởng thức khi còn nóng hổi. Theo đó, để có một bát phở ngon và đậm vị, điều này còn phụ thuộc rất nhiều vào kĩ năng của người nấu, trong đó quan trọng nhất đó chính là nồi nước dùng.",18
"Bánh bột lọc là một món ăn truyền thống của Việt Nam, có nguồn gốc từ Huế. Món bánh này phổ biến ở Hà Nội, Nam Định, các tỉnh miền Trung như Nghệ An, Đà Nẵng, và đặc biệt là Huế. Đây không chỉ là một món ăn vặt mà còn mang đậm giá trị văn hóa và lịch sử của người Việt.",19
"Bánh căn là một loại bánh phổ biến của Ninh Thuận, Bình  Thuận . Sau này được phát triển ở vùng Nam Trung Bộ, đặc biệt ở các tỉnh Khánh Hòa, Lâm Đồng, Bình Thuận. Bánh căn có hình dáng gần với bánh khọt ở các tỉnh phía Nam, nhưng cách làm hoàn toàn khác. Nếu như bánh khọt là loại bột gạo ""chiên"" (vì có dùng dầu mỡ) thì bánh căn là loại bột gạo ""nướng"". Làm bánh căn thường phải có khuôn đúc đặc biệt, thường làm bằng đất nung, và có nhiều lỗ tròn để đặt khuôn. Vì bánh căn nhỏ nên thường tính theo cặp chứ không theo cái, ở giữa có thể quét mỡ hành hoặc đổ trứng. Bánh căn thường ít được dọn cùng rau sống ăn lá, mà thường ăn kèm với xoài xanh, khế chua, dưa leo băm sợi. Nước chấm đi kèm theo thường là nước mắm pha loãng, tỏi, ớt... hoặc nước cá kho (thường là cá nục), khi dùng thường nhúng nguyên bánh vào nước chấm. Nước chấm có thể bỏ thêm xíu mại, mỡ hành để tăng thêm hương vị và dinh dưỡng.",20
"Bánh canh là một món ăn Việt Nam. Bánh canh có nguồn gốc từ Đông Nam Bộ, sau đó phổ biến khắp Việt Nam. Bánh canh bao gồm nước lèo được nấu từ tôm, cá và giò heo thêm gia vị tùy theo từng loại bánh canh. Sợi bánh canh có thể được làm từ bột gạo, bột mì, bột năng hoặc bột sắn hoặc bột gạo pha bột sắn. Bánh được làm từ bột được cán thành tấm và cắt ra thành sợi bự và ngắn hoặc se tròn thành cọng. Bánh được bỏ vào nồi nước dùng đã hầm vừa đủ độ và đợi cho chín tới. Gia vị cho bánh canh thay đổi tùy theo món bánh canh và theo khẩu vị mỗi vùng. Bánh canh có nhiều cách chế biến với cá đã róc xương, cua/ghẹ, bột lọc, chả cá, tôm/thịt nhưng phổ biến nhất là bánh canh giò heo.  ",21
"Bánh khọt là loại bánh Việt Nam (chính xác là loại bánh đặc trưng của miền nam Việt Nam. Làm từ bột gạo hoặc bột sắn, có nhân tôm, được chiên và ăn kèm với rau sống, ớt tươi, thường ăn với nước mắm pha ngọt, rất ít khi chấm nước sốt mắm tôm (không phải mắm tôm hay mắm tôm chua).",22
"Bánh tráng là một dạng bánh sử dụng nguyên liệu chính là tinh bột tráng mỏng phơi khô, khi ăn có thể nướng giòn (miền Bắc Việt Nam gọi là bánh đa nem, miền Trung gọi là bánh tráng nhúng, miền Nam gọi là bánh tráng ) hoặc nhúng qua nước để làm nem cuốn (miền Nam gọi là gỏi cuốn). Nó còn là nguyên liệu để làm một món ăn khác là nem (chả giò).",23
"Canh chua là tên gọi của những món ăn nhiều nước và có vị chua do được nấu bằng các nguyên liệu phối trộn với gia vị tạo chua. Là một món canh Việt Nam có nguồn gốc từ vùng đồng bằng sông Cửu Long ở Nam Bộ Việt Nam (miền Trung Việt Nam cũng có món canh chua riêng). Món này thường được làm từ cá từ đồng bằng sông Cửu Long, dứa, cà chua, giá đỗ và nước cốt me. Món này được trang trí bằng rau ngò gai, tỏi phi và hành lá thái nhỏ, cũng như các loại rau thơm khác, tùy theo loại canh chua cụ thể; các loại rau thơm khác này có thể bao gồm rau răm, ngò om và rau húng quế. Món này có thể được dùng riêng, với cơm trắng, bún hay thậm chí là mì gói. Các biến thể có thể bao gồm tôm, mực, sườn non, chả cá và trứng cút. Vị chua của cốt me, cà chua và dứa được trộn với một lượng nhỏ nước nóng; sau đó khuấy hỗn hợp trong vài phút để giải phóng hết tinh chất, và phần chất lỏng (trừ hạt me và các chất rắn khác, được loại bỏ) sau đó được thêm vào canh. Theo định nghĩa của Từ điển tiếng Việt thì riêu là món ăn lỏng nấu bằng cua hoặc cá với chất chua và gia vị. Do đó nguyên liệu chính để nấu canh chua là loại rau củ quả, các loại thịt hay thủy sản (cá, tôm, cua, ốc, hến, trai, sò) khác nhau, trong đó thường dùng một gia vị chua để tạo vị chua thơm ngon cho nước canh. Rất phổ biến các món canh chua sử dụng nguyên liệu chính là một loại thủy sản, hải sản, do chất tạo chua có tác dụng khử mùi vị tanh của nguyên liệu này. Cũng không hiếm khi canh chua chỉ là một tô nước luộc rau cho thêm chút nước cốt chanh, chút lá me hoặc lá giang hay vài quả sấu xanh.",24
"Cao lầu là một món mì ở Quảng Nam, Việt Nam. Đây được xem là món ăn đặc sản của thành phố Hội An. Món mì này có sợi mì màu vàng, được dùng với tôm, thịt xíu (xá xíu), các loại rau sống và rất ít nước dùng. Sợi mì màu vàng là do bột được hòa chung với tro từ một loại cây ở địa phương. Theo lịch sử ghi chép, cao lầu đã xuất hiện từ thế kỷ 17. Trong khoảng thời gian này, các thương nhân Trung Quốc và Nhật Bản thường xuyên lui tới cảng Hội An. Họ đã mang theo văn hóa ẩm thực riêng của nước họ, rồi dần dần tạo điều kiện cho món cao lầu ra đời - có thể được xem là sự pha trộn giữa nền ẩm thực Trung và Nhật. Chưa dừng lại ở đó, món cao lầu còn được biến tấu theo thời gian để hợp khẩu vị hơn đối với người Việt, rồi trở thành món ăn đặc sản của người dân miền Trung. Tên gọi “cao lầu” có nghĩa là món ăn cao lương mỹ vị và được thưởng thức ở trên lầu cao. Nói một cách khác, thực khách có thể vừa dùng món ăn, vừa ngắm được toàn bộ cảnh đẹp của phố phường Hội An ngay từ trên lầu cao.",25
"Cháo lòng là món cháo được nấu theo phương thức nấu cháo thông thường, trong sự kết hợp với nước dùng ngọt làm từ xương lợn hay nước luộc lòng lợn, và nguyên liệu chính cho bát cháo không thể thiếu các món phủ tạng lợn luộc, dồi. Cháo lòng tương đối phổ thông thậm chí khá bình dân trong ẩm thực Việt Nam, được bán rộng rãi tại các cửa hàng lòng lợn trong cả nước, tạo nên một bộ ba sản phẩm được ăn theo thứ tự trong bữa ăn là tiết canh, lòng lợn, cháo lòng, và thường kết hợp với rượu đế. Ở Hàn Quốc cũng có món cháo lòng có tên là soondaeguk (순대국). Các loại phổ biến nhất của sundae được làm bằng ruột lợn nhồi với lúa mạch, và tiết canh lợn, mặc dù một số biến thể cũng chứa tía tô, hành lá, tương đậu nành dạng sệt lên men, gạo nếp, kimchi, và đậu tương mầm. Đó là một món ăn đường phố nổi tiếng ở Bắc Triều Tiên và Hàn Quốc. Trong thực tế, có một khu phố gọi là Sundae Town trong Sillim-dong mà có nhiều nhà hàng chuyên sundae. Đôi khi nó bao gồm phần béo của ruột, gan, phổi, những mảnh sụn, và thịt của lợn.",26
Mì Quảng (tức là Mì của xứ Quảng) là một món ăn có nguồn gốc xuất xứ và cũng là đặc sản của tỉnh Quảng Nam.,27
"Nem chua (phương ngữ Bắc Bộ) hay nem (phương ngữ Trung Bộ và phương ngữ Nam Bộ) là một món ăn sử dụng thịt lợn, lợi dụng men của lá chuối (hoặc lá ổi, lá vông, lá sung v.v.) và thính gạo để ủ chín, có vị chua ngậy. Nổi tiếng ở Việt Nam như một sản vật phổ biến tại nhiều địa phương, tuy không rõ nem chua được người dân vùng nào làm ra đầu tiên. Cách chế biến nem có thể chia thành hai kiểu: Nem Miền Bắc có thể chế biến ăn sống cùng các loại lá đặc biệt; còn Nem Miền Trung (đặc biệt Thanh Hoá và Huế) được đóng gói và lên men trong một số loại lá, trong đó có lá chuối, lá ổi. Nem chua mỗi vùng đều có hương vị riêng: nem chua của Vĩnh Yên, làng Ước Lễ (Thanh Oai), Yên Mạc (Ninh Bình), Bình Lương (Hưng Yên), Bùi Xá (Bắc Ninh), làng Vẽ (Hà Nội), Quảng Yên (Quảng Ninh), Đại Từ (Thái Nguyên, thành phố Thanh Hóa, Đông Ba (Huế), Ninh Hòa, Lai Vung (Đồng Tháp), An Thọ (An Lão, Hải Phòng) v.v... Nổi tiếng nhất là nem chua Thanh Hóa.  ",28
"Xôi là một món ăn thông dụng được làm từ nguyên liệu chính là gạo nếp, đồ/hấp chín bằng hơi nước, thịnh hành trong ẩm thực của nhiều nước châu Á.  ",29
